,index,Lat,Lon,Temp
243,3,-2.5,-55.0,300.77298
244,4,-2.9,-60.56,299.712
245,5,-2.5,-55.0,300.486
246,6,-2.9,-60.56,299.445
247,7,-2.5,-55.0,300.29
248,8,-2.9,-60.56,299.26898
249,9,-2.5,-55.0,300.56598
250,10,-2.9,-60.56,299.147
251,11,-2.5,-55.0,300.485
252,12,-2.9,-60.56,299.25
253,13,-2.5,-55.0,300.88998
254,14,-2.9,-60.56,299.39798
255,15,-2.5,-55.0,301.277
256,16,-2.9,-60.56,299.24698
257,17,-2.5,-55.0,301.428
258,18,-2.9,-60.56,298.99698
259,19,-2.5,-55.0,300.835
260,20,-2.9,-60.56,299.003
261,21,-2.5,-55.0,300.647
262,22,-2.9,-60.56,298.414
263,23,-2.5,-55.0,300.54898
264,24,-2.9,-60.56,298.47598
265,25,-2.5,-55.0,301.116
266,26,-2.9,-60.56,297.85
267,27,-2.5,-55.0,299.603
268,28,-2.9,-60.56,297.764
269,29,-2.5,-55.0,299.352
270,30,-2.9,-60.56,297.008
271,31,-2.5,-55.0,298.926
272,32,-2.9,-60.56,297.098
273,33,-2.5,-55.0,298.871
274,34,-2.9,-60.56,296.665
275,35,-2.5,-55.0,298.848
276,36,-2.9,-60.56,297.475
277,37,-2.5,-55.0,299.029
278,38,-2.9,-60.56,298.216
279,39,-2.5,-55.0,300.043
280,40,-2.9,-60.56,298.12198
281,41,-2.5,-55.0,299.559
282,42,-2.9,-60.56,297.32
283,43,-2.5,-55.0,298.95898
284,44,-2.9,-60.56,298.251
285,45,-2.5,-55.0,299.249
286,46,-2.9,-60.56,298.27298
287,47,-2.5,-55.0,299.199
288,48,-2.9,-60.56,298.264
289,49,-2.5,-55.0,299.307
290,50,-2.9,-60.56,298.45398
291,51,-2.5,-55.0,299.021
292,52,-2.9,-60.56,298.20898
293,53,-2.5,-55.0,299.123
294,54,-2.9,-60.56,298.754
295,55,-2.5,-55.0,300.134
296,56,-2.9,-60.56,298.599
297,57,-2.5,-55.0,299.432
298,58,-2.9,-60.56,298.277
299,59,-2.5,-55.0,299.517
300,60,-2.9,-60.56,299.074
301,61,-2.5,-55.0,299.718
302,0,-2.9,-60.56,298.68298
303,1,-2.5,-55.0,300.13
304,2,-2.9,-60.56,298.62198
305,3,-2.5,-55.0,300.895
306,4,-2.9,-60.56,298.659
307,5,-2.5,-55.0,301.151
308,6,-2.9,-60.56,298.60498
309,7,-2.5,-55.0,301.11398
310,8,-2.9,-60.56,298.602
311,9,-2.5,-55.0,300.727
312,10,-2.9,-60.56,298.8
313,11,-2.5,-55.0,299.956
314,12,-2.9,-60.56,299.03
315,13,-2.5,-55.0,300.017
316,14,-2.9,-60.56,298.724
317,15,-2.5,-55.0,299.719
318,16,-2.9,-60.56,297.697
319,17,-2.5,-55.0,299.524
320,18,-2.9,-60.56,299.15698
321,19,-2.5,-55.0,298.72598
322,20,-2.9,-60.56,298.733
323,21,-2.5,-55.0,298.671
324,22,-2.9,-60.56,298.751
325,23,-2.5,-55.0,298.74298
326,24,-2.9,-60.56,298.296
327,25,-2.5,-55.0,298.866
328,26,-2.9,-60.56,298.073
329,27,-2.5,-55.0,298.766
330,28,-2.9,-60.56,297.136
331,29,-2.5,-55.0,298.90698
332,30,-2.9,-60.56,298.479
333,31,-2.5,-55.0,299.046
334,32,-2.9,-60.56,298.692
335,33,-2.5,-55.0,299.304
336,34,-2.9,-60.56,298.837
337,35,-2.5,-55.0,299.277
338,36,-2.9,-60.56,298.719
339,37,-2.5,-55.0,299.77298
340,38,-2.9,-60.56,299.099
341,39,-2.5,-55.0,299.78
342,40,-2.9,-60.56,299.13998
343,41,-2.5,-55.0,299.664
344,42,-2.9,-60.56,299.156
345,43,-2.5,-55.0,299.623
346,44,-2.9,-60.56,299.115
347,45,-2.5,-55.0,299.366
348,46,-2.9,-60.56,299.078
349,47,-2.5,-55.0,300.81198
350,48,-2.9,-60.56,299.08
351,49,-2.5,-55.0,300.831
352,50,-2.9,-60.56,298.964
353,51,-2.5,-55.0,300.58798
354,52,-2.9,-60.56,298.324
355,53,-2.5,-55.0,300.276
356,54,-2.9,-60.56,297.977
357,55,-2.5,-55.0,299.94598
358,56,-2.9,-60.56,297.75198
359,57,-2.5,-55.0,300.01898
360,58,-2.9,-60.56,297.81598
361,59,-2.5,-55.0,299.852
362,0,-2.9,-60.56,297.978
363,1,-2.5,-55.0,299.58798
364,2,-2.9,-60.56,298.013
365,3,-2.5,-55.0,299.656
366,4,-2.9,-60.56,297.55
367,5,-2.5,-55.0,299.972
368,6,-2.9,-60.56,297.75998
369,7,-2.5,-55.0,299.785
370,8,-2.9,-60.56,297.97998
371,9,-2.5,-55.0,299.856
372,10,-2.9,-60.56,298.544
373,11,-2.5,-55.0,299.893
374,12,-2.9,-60.56,298.46
375,13,-2.5,-55.0,300.262
376,14,-2.9,-60.56,298.689
377,15,-2.5,-55.0,300.449
378,16,-2.9,-60.56,298.62
379,17,-2.5,-55.0,300.507
380,18,-2.9,-60.56,298.978
381,19,-2.5,-55.0,300.386
382,20,-2.9,-60.56,299.173
383,21,-2.5,-55.0,300.017
384,22,-2.9,-60.56,299.007
385,23,-2.5,-55.0,298.94998
386,24,-2.9,-60.56,298.701
387,25,-2.5,-55.0,298.836
388,26,-2.9,-60.56,298.178
389,27,-2.5,-55.0,298.861
390,28,-2.9,-60.56,297.646
391,29,-2.5,-55.0,299.07
392,30,-2.9,-60.56,298.637
393,31,-2.5,-55.0,300.623
394,32,-2.9,-60.56,297.542
395,33,-2.5,-55.0,301.25998
396,34,-2.9,-60.56,297.702
397,35,-2.5,-55.0,301.14798
398,36,-2.9,-60.56,298.143
399,37,-2.5,-55.0,301.525
400,38,-2.9,-60.56,297.652
401,39,-2.5,-55.0,301.337
402,40,-2.9,-60.56,297.557
403,41,-2.5,-55.0,301.649
404,42,-2.9,-60.56,297.681
405,43,-2.5,-55.0,301.268
406,44,-2.9,-60.56,297.82898
407,45,-2.5,-55.0,299.92398
408,46,-2.9,-60.56,296.916
409,47,-2.5,-55.0,299.147
410,48,-2.9,-60.56,296.777
411,49,-2.5,-55.0,299.246
412,50,-2.9,-60.56,296.809
413,51,-2.5,-55.0,299.333
414,52,-2.9,-60.56,296.93
415,53,-2.5,-55.0,298.789
416,54,-2.9,-60.56,297.712
417,55,-2.5,-55.0,299.255
418,56,-2.9,-60.56,298.58798
419,57,-2.5,-55.0,299.199
420,58,-2.9,-60.56,299.318
421,59,-2.5,-55.0,300.684
422,60,-2.9,-60.56,299.464
423,61,-2.5,-55.0,301.054
424,0,-2.9,-60.56,299.429
425,1,-2.5,-55.0,301.31
426,2,-2.9,-60.56,299.84
427,3,-2.5,-55.0,301.245
428,4,-2.9,-60.56,300.152
429,5,-2.5,-55.0,300.793
430,6,-2.9,-60.56,300.179
431,7,-2.5,-55.0,300.815
432,8,-2.9,-60.56,299.999
433,9,-2.5,-55.0,299.55798
434,10,-2.9,-60.56,299.634
435,11,-2.5,-55.0,299.902
436,12,-2.9,-60.56,299.529
437,13,-2.5,-55.0,299.801
438,14,-2.9,-60.56,299.04
439,15,-2.5,-55.0,300.04
440,16,-2.9,-60.56,299.146
441,17,-2.5,-55.0,299.953
442,18,-2.9,-60.56,299.145
443,19,-2.5,-55.0,300.03598
444,20,-2.9,-60.56,298.456
445,21,-2.5,-55.0,300.01898
446,22,-2.9,-60.56,298.452
447,23,-2.5,-55.0,299.68698
448,24,-2.9,-60.56,298.55
449,25,-2.5,-55.0,299.604
450,26,-2.9,-60.56,298.66998
451,27,-2.5,-55.0,299.837
452,28,-2.9,-60.56,298.634
453,29,-2.5,-55.0,299.813
454,30,-2.9,-60.56,299.113
455,31,-2.5,-55.0,300.214
456,32,-2.9,-60.56,299.341
457,33,-2.5,-55.0,300.563
458,34,-2.9,-60.56,298.952
459,35,-2.5,-55.0,300.56
460,36,-2.9,-60.56,298.776
461,37,-2.5,-55.0,300.482
462,38,-2.9,-60.56,298.72998
463,39,-2.5,-55.0,300.35498
464,40,-2.9,-60.56,299.341
465,41,-2.5,-55.0,300.192
466,42,-2.9,-60.56,299.369
467,43,-2.5,-55.0,300.16098
468,44,-2.9,-60.56,299.366
469,45,-2.5,-55.0,300.053
470,46,-2.9,-60.56,299.197
471,47,-2.5,-55.0,299.94598
472,48,-2.9,-60.56,299.039
473,49,-2.5,-55.0,299.095
474,50,-2.9,-60.56,299.037
475,51,-2.5,-55.0,298.904
476,52,-2.9,-60.56,298.972
477,53,-2.5,-55.0,299.219
478,54,-2.9,-60.56,298.468
479,55,-2.5,-55.0,299.55
480,56,-2.9,-60.56,297.591
481,57,-2.5,-55.0,299.301
482,58,-2.9,-60.56,297.51498
483,59,-2.5,-55.0,299.201
484,60,-2.9,-60.56,297.943
485,61,-2.5,-55.0,299.719
486,0,-2.9,-60.56,298.466
487,1,-2.5,-55.0,299.966
488,2,-2.9,-60.56,297.923
489,3,-2.5,-55.0,300.646
490,4,-2.9,-60.56,297.72998
491,5,-2.5,-55.0,300.29
492,6,-2.9,-60.56,297.71
493,7,-2.5,-55.0,298.099
494,8,-2.9,-60.56,297.955
495,9,-2.5,-55.0,298.237
496,10,-2.9,-60.56,297.98898
497,11,-2.5,-55.0,297.451
498,12,-2.9,-60.56,297.44998
499,13,-2.5,-55.0,297.343
500,14,-2.9,-60.56,297.07498
501,15,-2.5,-55.0,297.111
502,16,-2.9,-60.56,296.814
503,17,-2.5,-55.0,297.863
504,18,-2.9,-60.56,297.00198
505,19,-2.5,-55.0,297.74698
506,20,-2.9,-60.56,297.00998
507,21,-2.5,-55.0,296.729
508,22,-2.9,-60.56,297.00598
509,23,-2.5,-55.0,297.154
510,24,-2.9,-60.56,297.889
511,25,-2.5,-55.0,298.47598
512,26,-2.9,-60.56,297.858
513,27,-2.5,-55.0,298.774
514,28,-2.9,-60.56,297.57898
515,29,-2.5,-55.0,298.456
516,30,-2.9,-60.56,298.724
517,31,-2.5,-55.0,298.348
518,32,-2.9,-60.56,298.707
519,33,-2.5,-55.0,298.069
520,34,-2.9,-60.56,297.471
521,35,-2.5,-55.0,297.952
522,36,-2.9,-60.56,297.37
523,37,-2.5,-55.0,297.513
524,38,-2.9,-60.56,296.328
525,39,-2.5,-55.0,297.221
526,40,-2.9,-60.56,296.457
527,41,-2.5,-55.0,297.108
528,42,-2.9,-60.56,296.604
529,43,-2.5,-55.0,297.915
530,44,-2.9,-60.56,297.163
